"Documentation of the Training Process"
"Epoch","Loss","SSIM","PSNR"
"0","0.3253835439682007","0.13187136352062226","tensor(10.6118)"
"1","0.09999829530715942","0.36703496277332304","tensor(16.8870)"
"2","0.09694278240203857","0.3603197932243347","tensor(17.6413)"
"3","0.09577668458223343","0.3613887012004852","tensor(17.8629)"
"4","0.08662615716457367","0.39801677465438845","tensor(18.7147)"
"5","0.07721875607967377","0.4338283509016037","tensor(19.5242)"
"6","0.06740397214889526","0.4512107759714127","tensor(20.2152)"
"7","0.05918581783771515","0.47524871230125426","tensor(20.7814)"
"8","0.05454820394515991","0.49976479113101957","tensor(21.3989)"
"9","0.05402446538209915","0.5193283766508102","tensor(21.9384)"
